LOCAL,NM_VOTAVEL,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_VOTAVEL,QT_VOTOS,LATITUDE,LONGITUDE
CABANA GRUPELLI,Branco,Prefeito,#NULO#,95,11,-31.45571,-52.51043
CABANA GRUPELLI,MARCIANO PERONDI,Prefeito,PL,22,192,-31.45571,-52.51043
CABANA GRUPELLI,MARRONI,Prefeito,PT,13,81,-31.45571,-52.51043
CABANA GRUPELLI,Nulo,Prefeito,#NULO#,96,5,-31.45571,-52.51043
CAMPUS II,Branco,Prefeito,#NULO#,95,45,-31.77623,-52.33931
CAMPUS II,MARCIANO PERONDI,Prefeito,PL,22,682,-31.77623,-52.33931
CAMPUS II,MARRONI,Prefeito,PT,13,1128,-31.77623,-52.33931
CAMPUS II,Nulo,Prefeito,#NULO#,96,51,-31.77623,-52.33931
CASA COMERCIAL SR HUGO STARK,Branco,Prefeito,#NULO#,95,7,-31.46644,-52.21559
CASA COMERCIAL SR HUGO STARK,MARCIANO PERONDI,Prefeito,PL,22,240,-31.46644,-52.21559
CASA COMERCIAL SR HUGO STARK,MARRONI,Prefeito,PT,13,68,-31.46644,-52.21559
CASA COMERCIAL SR HUGO STARK,Nulo,Prefeito,#NULO#,96,3,-31.46644,-52.21559
CASA COMERCIAL SR ROBERTO HINZ,Branco,Prefeito,#NULO#,95,3,-31.38924,-52.46786
CASA COMERCIAL SR ROBERTO HINZ,MARCIANO PERONDI,Prefeito,PL,22,479,-31.38924,-52.46786
CASA COMERCIAL SR ROBERTO HINZ,MARRONI,Prefeito,PT,13,113,-31.38924,-52.46786
CASA COMERCIAL SR ROBERTO HINZ,Nulo,Prefeito,#NULO#,96,2,-31.38924,-52.46786
CASE PELOTAS,Branco,Prefeito,#NULO#,95,1,-31.73412,-52.33146
CASE PELOTAS,MARCIANO PERONDI,Prefeito,PL,22,2,-31.73412,-52.33146
CASE PELOTAS,MARRONI,Prefeito,PT,13,12,-31.73412,-52.33146
CASE PELOTAS,Nulo,Prefeito,#NULO#,96,1,-31.73412,-52.33146
CATEDRAL DO REDENTOR,Branco,Prefeito,#NULO#,95,12,-31.77243,-52.34272
CATEDRAL DO REDENTOR,MARCIANO PERONDI,Prefeito,PL,22,284,-31.77243,-52.34272
CATEDRAL DO REDENTOR,MARRONI,Prefeito,PT,13,291,-31.77243,-52.34272
CATEDRAL DO REDENTOR,Nulo,Prefeito,#NULO#,96,12,-31.77243,-52.34272
CAVG,Branco,Prefeito,#NULO#,95,44,-31.71648,-52.30871
CAVG,MARCIANO PERONDI,Prefeito,PL,22,867,-31.71648,-52.30871
CAVG,MARRONI,Prefeito,PT,13,718,-31.71648,-52.30871
CAVG,Nulo,Prefeito,#NULO#,96,59,-31.71648,-52.30871
CENTRO PORTUGUÊS,Branco,Prefeito,#NULO#,95,19,-31.75919,-52.27166
CENTRO PORTUGUÊS,MARCIANO PERONDI,Prefeito,PL,22,424,-31.75919,-52.27166
CENTRO PORTUGUÊS,MARRONI,Prefeito,PT,13,341,-31.75919,-52.27166
CENTRO PORTUGUÊS,Nulo,Prefeito,#NULO#,96,18,-31.75919,-52.27166
CLUBE BRILHANTE,Branco,Prefeito,#NULO#,95,102,-31.75286,-52.33431
CLUBE BRILHANTE,MARCIANO PERONDI,Prefeito,PL,22,2043,-31.75286,-52.33431
CLUBE BRILHANTE,MARRONI,Prefeito,PT,13,1876,-31.75286,-52.33431
CLUBE BRILHANTE,Nulo,Prefeito,#NULO#,96,98,-31.75286,-52.33431
CLUBE DIAMANTINOS,Branco,Prefeito,#NULO#,95,34,-31.76409,-52.33644
CLUBE DIAMANTINOS,MARCIANO PERONDI,Prefeito,PL,22,561,-31.76409,-52.33644
CLUBE DIAMANTINOS,MARRONI,Prefeito,PT,13,564,-31.76409,-52.33644
CLUBE DIAMANTINOS,Nulo,Prefeito,#NULO#,96,31,-31.76409,-52.33644
COLÉGIO DOM JOÃO BRAGA,Branco,Prefeito,#NULO#,95,101,-31.76825,-52.33275
COLÉGIO DOM JOÃO BRAGA,MARCIANO PERONDI,Prefeito,PL,22,1508,-31.76825,-52.33275
COLÉGIO DOM JOÃO BRAGA,MARRONI,Prefeito,PT,13,2389,-31.76825,-52.33275
COLÉGIO DOM JOÃO BRAGA,Nulo,Prefeito,#NULO#,96,107,-31.76825,-52.33275
COLÉGIO FÉLIX DA CUNHA,Branco,Prefeito,#NULO#,95,45,-31.77965,-52.34066
COLÉGIO FÉLIX DA CUNHA,MARCIANO PERONDI,Prefeito,PL,22,496,-31.77965,-52.34066
COLÉGIO FÉLIX DA CUNHA,MARRONI,Prefeito,PT,13,776,-31.77965,-52.34066
COLÉGIO FÉLIX DA CUNHA,Nulo,Prefeito,#NULO#,96,35,-31.77965,-52.34066
COLÉGIO GONZAGA,Branco,Prefeito,#NULO#,95,79,-31.76324,-52.33843
COLÉGIO GONZAGA,MARCIANO PERONDI,Prefeito,PL,22,1459,-31.76324,-52.33843
COLÉGIO GONZAGA,MARRONI,Prefeito,PT,13,1387,-31.76324,-52.33843
COLÉGIO GONZAGA,Nulo,Prefeito,#NULO#,96,79,-31.76324,-52.33843
COLÉGIO PELOTENSE,Branco,Prefeito,#NULO#,95,151,-31.75946,-52.34645
COLÉGIO PELOTENSE,MARCIANO PERONDI,Prefeito,PL,22,2373,-31.75946,-52.34645
COLÉGIO PELOTENSE,MARRONI,Prefeito,PT,13,2522,-31.75946,-52.34645
COLÉGIO PELOTENSE,Nulo,Prefeito,#NULO#,96,163,-31.75946,-52.34645
COLÉGIO SINODAL ALFREDO SIMON,Branco,Prefeito,#NULO#,95,111,-31.71275,-52.34844
COLÉGIO SINODAL ALFREDO SIMON,MARCIANO PERONDI,Prefeito,PL,22,2069,-31.71275,-52.34844
COLÉGIO SINODAL ALFREDO SIMON,MARRONI,Prefeito,PT,13,1627,-31.71275,-52.34844
COLÉGIO SINODAL ALFREDO SIMON,Nulo,Prefeito,#NULO#,96,130,-31.71275,-52.34844
COLÉGIO SÃO JOSÉ,Branco,Prefeito,#NULO#,95,74,-31.77525,-52.34166
COLÉGIO SÃO JOSÉ,MARCIANO PERONDI,Prefeito,PL,22,1335,-31.77525,-52.34166
COLÉGIO SÃO JOSÉ,MARRONI,Prefeito,PT,13,1732,-31.77525,-52.34166
COLÉGIO SÃO JOSÉ,Nulo,Prefeito,#NULO#,96,64,-31.77525,-52.34166
COMUN EVANG SÃO JOÃO,Branco,Prefeito,#NULO#,95,10,-31.75948,-52.33714
COMUN EVANG SÃO JOÃO,MARCIANO PERONDI,Prefeito,PL,22,252,-31.75948,-52.33714
COMUN EVANG SÃO JOÃO,MARRONI,Prefeito,PT,13,230,-31.75948,-52.33714
COMUN EVANG SÃO JOÃO,Nulo,Prefeito,#NULO#,96,18,-31.75948,-52.33714
COMUNIDADE ANGLICANA SÃO PAULO,Branco,Prefeito,#NULO#,95,6,-31.52121,-52.52562
COMUNIDADE ANGLICANA SÃO PAULO,MARCIANO PERONDI,Prefeito,PL,22,97,-31.52121,-52.52562
COMUNIDADE ANGLICANA SÃO PAULO,MARRONI,Prefeito,PT,13,30,-31.52121,-52.52562
